EBELN,EBELP,BEDAT,WERKS,MATNR,TXZ01,MENGE,MEINS,NETWR,WAERS,LIFNR,EKGRP
4500012301,00010,05.01.2024,1000,DIES-001,Dieselkraftstoff,8000,L,6800.00,EUR,VENDOR_041,B01
4500012302,00010,08.01.2024,2000,DIES-001,Dieselkraftstoff,3200,KG,2880.00,EUR,VENDOR_041,B01
4500012303,00010,12.01.2024,1000,HEIZOEL,Heizöl,5000,L,4500.00,EUR,VENDOR_019,B02
4500012304,00010,15.01.2024,3000,ERGAS-H,Erdgas,1200,M3,1440.00,EUR,VENDOR_033,B02
4500012305,00010,19.01.2024,1000,DIES-001,Dieselkraftstoff,10500,L,8925.00,EUR,VENDOR_041,B01
4500012306,00010,23.01.2024,2000,LPG-001,Flüssiggas,900,KG,1350.00,EUR,VENDOR_027,B03
4500012307,00010,28.01.2024,4000,DIES-001,Diesel,4800,L,4080.00,EUR,VENDOR_041,B01
4500012308,00010,02.02.2024,1000,ERGAS-H,Erdgas,2200,M3,2640.00,EUR,VENDOR_033,B02
4500012309,00010,07.02.2024,3000,HEIZOEL,Heizöl,3000,L,2700.00,EUR,VENDOR_019,B02
4500012310,00010,09.02.2024,2000,DIES-001,Dieselkraftstoff,7500,KG,6750.00,EUR,VENDOR_041,B01
4500012311,00010,14.02.2024,1000,LPG-001,Flüssiggas,600,KG,900.00,EUR,VENDOR_027,B03
4500012312,00010,18.02.2024,4000,ERGAS-H,Erdgas,900,M3,1080.00,EUR,VENDOR_033,B02
4500012313,00010,22.02.2024,1000,DIES-001,Dieselkraftstoff,15000,L,12750.00,EUR,VENDOR_041,B01
4500012314,00010,26.02.2024,2000,HEIZOEL,Heizöl,4200,L,3780.00,EUR,VENDOR_019,B02
4500012315,00010,01.03.2024,3000,DIES-001,Diesel,6600,KG,5940.00,EUR,VENDOR_041,B01
4500012316,00010,05.03.2024,1000,ERGAS-H,Erdgas,1800,M3,2160.00,EUR,VENDOR_033,B02
4500012317,00010,11.03.2024,4000,DIES-001,Dieselkraftstoff,9000,L,7650.00,EUR,VENDOR_041,B01
4500012318,00010,15.03.2024,2000,LPG-001,Flüssiggas,1100,KG,1650.00,EUR,VENDOR_027,B03
4500012319,00010,20.03.2024,1000,HEIZOEL,Heizöl,2500,L,2250.00,EUR,VENDOR_019,B02
4500012320,00010,25.03.2024,3000,ERGAS-H,Erdgas,3000,M3,3600.00,EUR,VENDOR_033,B02
