account_id,meter_id,site_name,billing_period_start,billing_period_end,meter_read_start,meter_read_end,consumption,unit,tariff_code,amount_billed,currency,supply_voltage,power_factor
ACCT-7781,MTR-A001,Mumbai HQ - Block A,2024-01-03,2024-02-01,184520,191843,7323,kWh,TOD-HT-1,91537.50,INR,HT-33kV,0.94
ACCT-7781,MTR-A002,Mumbai HQ - Block B,2024-01-05,2024-02-04,92100,95812,3712,kWh,TOD-HT-1,46400.00,INR,HT-33kV,0.91
ACCT-7782,MTR-B001,Pune Factory,2024-01-08,2024-02-07,430210,436954,6744,kWh,HT-Industry,84300.00,INR,HT-11kV,0.88
ACCT-7783,MTR-C001,Delhi Office,2024-01-10,2024-02-09,28900,30145,1245,kWh,LT-Commercial,18675.00,INR,LT-415V,0.92
ACCT-7781,MTR-A001,Mumbai HQ - Block A,2024-02-01,2024-03-02,191843,199901,8058,kWh,TOD-HT-1,100725.00,INR,HT-33kV,0.93
ACCT-7781,MTR-A002,Mumbai HQ - Block B,2024-02-04,2024-03-05,95812,99210,3398,kWh,TOD-HT-1,42475.00,INR,HT-33kV,0.90
ACCT-7782,MTR-B001,Pune Factory,2024-02-07,2024-03-08,436954,445820,8866,MWh,HT-Industry,1108250.00,INR,HT-11kV,0.87
ACCT-7783,MTR-C001,Delhi Office,2024-02-09,2024-03-10,30145,31290,1145,kWh,LT-Commercial,17175.00,INR,LT-415V,0.91
ACCT-7784,MTR-D001,Bangalore R&D,2024-02-12,2024-03-13,15200,16890,1690,kWh,LT-Commercial,25350.00,INR,LT-415V,0.95
ACCT-7781,MTR-A001,Mumbai HQ - Block A,2024-03-02,2024-04-01,199901,208744,8843,kWh,TOD-HT-1,110537.50,INR,HT-33kV,0.94
ACCT-7781,MTR-A002,Mumbai HQ - Block B,2024-03-05,2024-04-04,99210,103100,3890,kWh,TOD-HT-1,48625.00,INR,HT-33kV,0.92
ACCT-7782,MTR-B001,Pune Factory,2024-03-08,2024-04-07,445820,453100,7280,kWh,HT-Industry,91000.00,INR,HT-11kV,0.89
ACCT-7783,MTR-C001,Delhi Office,2024-03-10,2024-04-09,31290,32680,1390,kWh,LT-Commercial,20850.00,INR,LT-415V,0.90
ACCT-7784,MTR-D001,Bangalore R&D,2024-03-13,2024-04-12,16890,18920,2030,kWh,LT-Commercial,30450.00,INR,LT-415V,0.94
ACCT-7785,MTR-E001,Chennai Warehouse,2024-03-15,2024-04-14,8100,9340,1240,kWh,LT-Commercial,18600.00,INR,LT-415V,0.88
